451511	4603023046008	НОВАЯ ЗАРЯ Красная Москва духи 42мл(НОВАЯ ЗАРЯ):10	Парфюмерия и декоративная косметика	Парфюмерия	Одеколоны, духи, воды	Одеколоны, духи, воды женские
104801	3600010006831	FRUCTIS Шампунь 2в1 для норм.вол.250мл(Гарньер):12	Уход и гигиена	Средства по уходу за волосами	Шампуни	Шампуни женские
105122	4600936251161	СВОБОДА Шампунь Утрен Роза п/ломк вол 76г туба(Свобода):16	Уход и гигиена	Средства по уходу за волосами	Шампуни	Шампуни женские
105170	5036834522147	Лак д/вол.В-5 Profes.Look(роз)Max:12	Уход и гигиена	Средства по уходу за волосами	Средства для укладки и стайлинга волос	Лак, жидкость для фиксации волос
327462	4607051550759	Хлеб Украинский новый пол. 0,3кг п\уп (Хлебозавод№ 1 ОАО):1	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный формовой
104978	40058139	NIVEA Масло Репейное д/волос 75мл (Байерсдорф):18	Уход и гигиена	Средства по уходу за волосами	Лечение волос	Лечение волос
105022	4056800114733	WELLAFLEX Пена д/в ЭкстраСильн Фикс 200мл(Проктер):6	Уход и гигиена	Средства по уходу за волосами	Средства для укладки и стайлинга волос	Пена(мусс), жидкость для укладки волос
105414	3014260220051	GILLETTE Series Гель д/бритья Увлажн 200мл (Проктер):6	Уход и гигиена	Бритье	Для бритья	Для бритья гели
105425	3014260248642	VENUS Simply Бритвы одноразовые жен 2шт(Проктер):24/144	Уход и гигиена	Бритье	Бритвы и лезвия	Одноразовые станки
105429	3014260262693	VENUS Станок c 2 кассетами Жен (Проктер):6/12	Уход и гигиена	Бритье	Бритвы и лезвия	Системные станки
105430	3014260264505	VENUS Кассеты Женские 2шт (Проктер):2/20	Уход и гигиена	Бритье	Бритвы и лезвия	Системные кассеты
105431	3014260262709	VENUS Кассеты Жен 4шт (Проктер):4/20	Уход и гигиена	Бритье	Бритвы и лезвия	Системные кассеты
105444	4005808222865	NIVEA Гель д/бритья Освежающий 200мл (Байерсдорф):6/12	Уход и гигиена	Бритье	Для бритья	Для бритья гели
105197	8410179100104	BORGES Оливковое масло EV 1л ж/б(Асеитес BORGES):6	Бакалея	Растительные масла	Оливковое масло	Нерафинированное оливковое масло
105201	4601929010178	ТРАВИАТА Шампунь Ромашка 1л:12	Уход и гигиена	Средства по уходу за волосами	Шампуни	Шампуни женские
327482	2308126	Сельдь филе с/с 1кг сырье:8	Рыбная гастрономия	Рыба вяленая, копченая, соленая	Сельди соленые	Сельди соленые
163268	5000174415698	BLEND-A-MED з/п Комплит+Травы 100мл (Проктер):24	Уход и гигиена	Уход за зубами и полостью рта	Пасты зубные	Пасты зубные
105334	3014260241803	GILLETTE Sputnik Лезвия 5шт.(Проктер):20/2160	Уход и гигиена	Бритье	Бритвы и лезвия	Системные кассеты
105351	3014260244897	GILLETTE Sensor Excel Кассеты жен 5шт:10/40	Уход и гигиена	Бритье	Бритвы и лезвия	Системные кассеты
105359	3014260243531	GILLETTE Mach3 Кассеты д/станка 4шт (Проктер):4/20	Уход и гигиена	Бритье	Бритвы и лезвия	Системные кассеты
105363	3014260251970	GILLETTE Mach3 Кассеты д/станка 2шт (Проктер):4/20	Уход и гигиена	Бритье	Бритвы и лезвия	Системные кассеты
105366	3014260243548	GILLETTE Mach3 Кассеты 8шт (Проктер):4/20	Уход и гигиена	Бритье	Бритвы и лезвия	Системные кассеты
105728	4630000372133	Сайра нат с д/м 240-250г:48	Консервированные продукты	Консервы рыбные	Консервы рыбные с добавлением масла	Консервы из сайры с добавлением масла
105734	2030190404010	Салат листовой Микс (цена за шт)	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Салат	Салаты микс
105479	5903267902498	VEET Крем д/депиляции д/чувст кожи 100мл (Бенкизер):6	Уход и гигиена	Бритье	Депиляционные средства	Депиляционные кремы
105489	8690506090043	ARKO Sensetive Пена д/бритья 200мл (Евиап) :6/24	Уход и гигиена	Бритье	Для бритья	Для бритья пены
105491	8690506090067	ARKO Пена д/бритья Увлажняющая 200мл (Евиап):24	Уход и гигиена	Бритье	Для бритья	Для бритья пены
105493	8690506090029	ARKO Пена д/бритья Кул 200мл (Эвиап):6/24	Уход и гигиена	Бритье	Для бритья	Для бритья пены
420948	4603274001115	АЛЕКСЕЕВСКИЙ Снежок 2,5% 0,45кг п/пак (АМКК)	Молочная продукция	Кисломолочные традиционные продукты	Прочие кисломолочные традиционные продукты	Прочие кисломолочные традиционные продукты
288438	2397943	Колбаса Докторская Оригин (в) мини (Вологодский МК)	Мясная гастрономия	Колбасы	Вареные колбасы	Вареные колбасы
105540	3014260280772	ORAL-B з/нить Essential Floss ментол 50 м(Проктер):12/144	Уход и гигиена	Уход за зубами и полостью рта	Прочие средства для ухода за полостью рта	Прочие средства для ухода за полостью рта
105594	40822938	Fanta OR NRP.Апель.0.5л:24	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов менее 0,8л
105598	-	PEPSI-КОЛА Напиток газированный ж/б 0,33:24	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов менее 0,8л
155973	4607060620047	Яйцо столовое отбор фас 10шт бокс:35	Яичные товары	Яйцо	Куриное	Куриное
323855	2316688	Колбаса Сервелат Киевский в/к (в) мясн/пр(Мутигуллин)	Мясная гастрономия	Колбасы	Варено-копченые колбасы	Варено-копченые колбасы
106027	5010677942041	Вермут Мартини Розато роз слад 0,5л (Италия):6	Вино	Вина ароматизированные	Вина ароматизированные красные/розовые	Вина ароматизированные красные/розовые
106052	2366787	СВЕКЛА молодая (цена за кг)(фас):5	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Свекла	Свекла
105866	2366744	КИВИ свеж. (цена за кг) (фас)	Свежие фрукты и овощи	Свежие плоды и ягоды	Киви	Киви
105906	4699301505015	Хлеб ржаной 0.6 (Армхлеб)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный формовой
106387	5010677912020	Вермут Мартини Россо крас слад 0,5л (Италия):6	Вино	Вина ароматизированные	Вина ароматизированные красные/розовые	Вина ароматизированные красные/розовые
106388	5010677932059	Вермут Мартини Экстра Драй бел сух 0,5л (Италия):6	Вино	Вина ароматизированные	Вина ароматизированные белые	Вина ароматизированные белые
106415	-	Бонаква пл/бут. 0.5л:24	Безалкогольные напитки	Воды питьевые	Газированные питьевые воды	Газированные питьевые воды менее 0,8л
327486	2346246	Ветчина Столичная вязанка(в)(Ст колбасы):19,5	Мясная гастрономия	Колбасы	Ветчина	Ветчина из мяса животных
106276	-	Мойва х/к 250гр картон (Тр)	Рыбная гастрономия	Рыба вяленая, копченая, соленая	Рыба холодного копчения	Рыба холодного копчения Мойва
106678	5010677915106	Вермут Мартини Россо крас слад 1л (Италия):6	Вино	Вина ароматизированные	Вина ароматизированные красные/розовые	Вина ароматизированные красные/розовые
106476	2360446	Крылья ЦБ 1кг лот зам (Ставропольский бройлер):8	Птица	Мясо птицы замороженное	Мясо курицы замороженное	Крыло куриное замороженное
106477	2360449	Окорочок ЦБ 1кг лот зам (Ставропольский бройлер):8	Птица	Мясо птицы замороженное	Мясо курицы замороженное	Окорочок куриный замороженный
106479	2360451	Сердце ЦБ и кур 1кг лот зам (Ставропольский бройлер):7,2	Птица	Мясо птицы замороженное	Мясо курицы замороженное	Субпродукты курицы замороженные
106484	2360439	Грудка ЦБ 1кг лот зам (Ставропольский бройлер):8	Птица	Мясо птицы замороженное	Мясо курицы замороженное	Грудка куриная замороженная
106625	5400101117570	СПАРЖА БЕЛАЯ (Цена за шт)	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Спаржа	Спаржа
106966	-	НОВЫЙ ЖЕМЧУГ З/п кальц 70г в фут(Нев.Косм.):12/96	Уход и гигиена	Уход за зубами и полостью рта	Пасты зубные	Пасты зубные
106978	4606711014518	ОСОБЫЙ зуб. порошок 140см* :48	Уход и гигиена	Уход за зубами и полостью рта	Прочие средства для ухода за полостью рта	Прочие средства для ухода за полостью рта
420949	4603274001122	АЛЕКСЕЕВСКАЯ Ряженка 4% 0,45кг п/пак (АМКК)	Молочная продукция	Кисломолочные традиционные продукты	Ряженка	Ряженка
107044	5010622005012	ORAL-B Essential Floss з/нить 50 м(Проктер):12/144	Уход и гигиена	Уход за зубами и полостью рта	Прочие средства для ухода за полостью рта	Прочие средства для ухода за полостью рта
106773	5000265001007	Виски Уайт Хорс п/у 0,75л. (Шотландия):12	Крепкий алкоголь	Виски	Виски Шотландия купажированный	До 3 лет
106781	4601088003011	Коньяк Рос. КС Прасковейский п/у 40% 0,7л (Прасковейское):6	Крепкий алкоголь	Коньяк	Коньяк Россия/СНГ	Более 5 лет
106859	5000209155766	COLGATE Plax Опол д/пол рта Освеж.Мята 250мл(Колгейт):12	Уход и гигиена	Уход за зубами и полостью рта	Ополаскиватели и бальзамы	Ополаскиватели и бальзамы
106871	7891024128954	COLGATE Тройное действие з/паста 50мл :12/72	Уход и гигиена	Уход за зубами и полостью рта	Пасты зубные	Пасты зубные
106874	8590232000050	COLGATE з/щетка Классика Plus средняя (Колгейт):12/72	Уход и гигиена	Уход за зубами и полостью рта	Зубные щетки и насадки	Мануальные зубные щетки
106876	5900273001566	COLGATE з/щетка Экстра Чистота сред (Колгейт):12/72	Уход и гигиена	Уход за зубами и полостью рта	Зубные щетки и насадки	Мануальные зубные щетки
175975	2363087	РОСИЙСКИЙ Сыр твердый 45% (в) 1кг (Кошкинский МЗС) :8/15	Сыры	Твердые сычужные сыры	Твердые сычужные сыры	Прочие твердые сычужные сыры
288025	4602950143163	Сухари Лимак изюм обс.сах 0,3кг(Лимак):13	Мучные кондитерские изделия	Бараночные и сухарные изделия	Сухарные изделия	Сухари
107233	5900516303037	BELLA Normal Прокладки б/кр с мягк пов 10шт:32	Уход и гигиена	Женская гигиена	Прокладки	Прокладки
107243	5900516310431	BELLA Panty Soft Прокладки ежедневные 20шт :18	Уход и гигиена	Женская гигиена	Прокладки ежедневные	Прокладки ежедневные
107296	8002110311511	JOHNSONS Baby Масло детск с алоэ 200мл(Джонсон):12	Уход и гигиена	Средства для гигиены и ухода за детьми	Уход за кожей ребенка	Масло детское
288044	4630000490578	Торт Пражский 0,9кг коррекс(МЕТРОПОЛИС)	Мучные кондитерские изделия	Мучные кондитерские изделия (охл)	Торты	Торты
107048	7610196003544	COLGATE з/щ Зиг Заг сред :12/72	Уход и гигиена	Уход за зубами и полостью рта	Зубные щетки и насадки	Мануальные зубные щетки
107065	3574660089356	O B Original Тампоны Super Plus 16шт:6/48	Уход и гигиена	Женская гигиена	Тампоны	Тампоны
107067	3574660089318	O B Original Тампоны Normal 16шт(Джонсон):6/24	Уход и гигиена	Женская гигиена	Тампоны	Тампоны
107070	3574660089332	O B Original Тампоны Super 16шт(Джонсон):6/24	Уход и гигиена	Женская гигиена	Тампоны	Тампоны
164580	2034220815016	Хлеб Полюшко с отрубями 0,2кг (Русский продукт)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Диетические хлебные изделия	Хлеб с отрубями
107098	7322540861464	LIBRESSE Прокладки Ночные Maxi 10 шт (ЭсСиЭй) :12	Уход и гигиена	Женская гигиена	Прокладки	Прокладки
107110	7310790088731	LIBRESSE Ultra Прокладки Normal с мягк пов 10шт(ЭсСиЭй) :24	Уход и гигиена	Женская гигиена	Прокладки	Прокладки
107121	4605331001304	ZEWA Plus Т/Бумага Розовая с аром малины 4рул 2сл:24	Уход и гигиена	Бумажная продукция	Туалетная бумага	Многослойная сухая туалетная бумага
107122	4605331003308	ZEWA Plus Белая 2сл 4рул т/б(ЭсСиЭй ХПР):24	Уход и гигиена	Бумажная продукция	Туалетная бумага	Многослойная сухая туалетная бумага
107195	8000500003787	FERRERO ROCHER Конфеты 16Т:5/20	Кондитерские изделия	Шоколадные конфеты в коробках	Шоколадные конфеты в коробках	Шоколадные конфеты в коробках
107221	5900516304607	BELLA Classic Nova Comfort Прокладки с крыл пов сет:15	Уход и гигиена	Женская гигиена	Прокладки	Прокладки
107535	4005808730407	NIVEA Дез муж спрей Экстрем Свежесть 150 мл(Байерсдорф) :12	Уход и гигиена	Дезодоранты	Дезодоранты мужские	Дезодоранты мужские спреи
279357	4607053478198	ТEМА Молоко стерил детское 3,2% 0,2кг(Юнимилк):18	Детское питание	Молочное детское питание	Молоко детское	Молоко без добавок детское
107304	8002110311863	JOHNSONS Baby Дет масло 200мл:12	Уход и гигиена	Средства для гигиены и ухода за детьми	Уход за кожей ребенка	Масло детское
107312	3574660077049	JOHNSONS Baby Масло дестк с ромашкой 200мл(Дж и Дж ):6/24	Уход и гигиена	Средства для гигиены и ухода за детьми	Уход за кожей ребенка	Масло детское
327703	4607161621899	ПРОСТОКВАШИНО сырок тв. изюм 23% 100г ф/п (Юнимилк):16	Молочная продукция	Молочно-десертные продукты	Творожные изделия	Творожные сырки
107326	7322540571387	LIBERO Everyday Подгузники Maxi(7-18кг)20шт:6	Уход и гигиена	Средства для гигиены и ухода за детьми	Подгузники	Подгузники
107366	5900516400552	BELLA Ватные палочки круг/упак 100шт(ТЗМО):48	Уход и гигиена	Средства личной гигиены	Ватная продукция	Ватные палочки
107388	4670016720351	OLA! Ватные палочки 200шт (Целлтекс):24	Уход и гигиена	Средства личной гигиены	Ватная продукция	Ватные палочки
107411	4602216000506	ЧЕРНАЯ КАРТА Кофе зерно в/у 200г (Зол.купола):12	Кофе, какао	Кофе	Кофе натуральный	Кофе в зернах
107585	4820011010241	Сода пищевая тв.уп. 500г.: 24	Бакалея	Ингредиенты для готовки	Добавки для теста	Сода
107664	-	Хлеб белый пшен. 0,65кг (Георгиевский ХК)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб пшеничный	Хлеб пшеничный формовой
107774	5904187000851	CLEAN&CLEAR Крем-гель д/глуб очищ лица 150 мл:6	Уход и гигиена	Уход за проблемной кожей	Очищение (лечебное)	Очищение (лечебное)
108029	4606711350210	АВАНТА Силиконовый Крем для рук 75мл (Аванта) :30	Уход и гигиена	Уход за кожей рук	Увлажнение и питание кожи рук	Увлажнение и питание кожи рук
108138	4600697192314	Спермацетовый Крем д\лиц д\с\норм 40мл(Невская Косметика):36	Уход и гигиена	Уход за кожей лица	Кремы	Кремы уход
107939	8426979101425	KAPRIS Маслины 480г ж/б:24	Консервированные продукты	Консервы овощные и грибные	Оливки, маслины	Маслины с косточкой
108159	8690506094515	ARKO Sensetive Крем д/бритья 65г (Эвиап):6/72	Уход и гигиена	Бритье	Для бритья	Для бритья кремы
279385	4630000490707	Торт слоеный Крем-брюле 0,4кг(Метрополис)	Мучные кондитерские изделия	Мучные кондитерские изделия (охл)	Торты	Торты
108179	4606711140415	Детский Крем 46мл (Аванта) :40	Уход и гигиена	Средства для гигиены и ухода за детьми	Уход за кожей ребенка	Детский крем
165226	2394540	Редька свеж. 1кг:5	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Редис, редька	Редька
108321	4000388177000	DOVE ж/мыло Красота и Уход 250мл(Юнилевер):12	Уход и гигиена	Мыло туалетное	Мыло жидкое	Жидкое основное
108640	3838905551559	PALETTE краска д/в N 1 черный (Шарцкопф):10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
108641	3838905551566	PALETTE краска д/в N 2 темно-каштан (Хенкель):5/10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
108642	3838905551573	PALETTE краска д/в N3 коричневый (Хенкель):10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
108644	3838905551597	PALETTE краска д/в N5 темно-русый (Хенкель):10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
108645	3838905551603	PALETTE краска д/в N6 средне-русый (Хенкель):10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
108646	3838905551610	PALETTE краска д/в N 7 Русый (Хенкель) :5/10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
108650	3838905551658	PALETTE Краска д/в C9 Пельн Блонд(Хенкель):10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
108651	3838905551665	PALETTE краска д/в C10 поляр серебрист (Хенкель):10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
108653	3838905551672	PALETTE краска д/в R2 красное дерево (Хенкель):10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
108655	3838905551696	PALETTE краска д/в R 4 каштан (Хенкель):5/10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
171578	2323826	Колбаса Докторская вар ГОСТ в/с нат об (в)(Красн.МК)	Мясная гастрономия	Колбасы	Вареные колбасы	Вареные колбасы
108509	8003520009524	PALMOLIVE Мыло арбуз глицерин 100г(Колгейт):6/72	Уход и гигиена	Мыло туалетное	Мыло кусковое	Кусковое основное
108897	4015203134328	Londa Color Cream Краска д/вол 32 Мокко(РуссВелл) :10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
108901	4015203134427	Londa Color Cream краска д/вол 42 Темно-кашт(РуссВелл):10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
108904	4015203134526	Londa Color Крем-краска 52 Баклажан (Проктер) :10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
108764	4056800022991	WELLA Wellaton краска д/волос 2/0 Черный (Проктер):10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
108766	4056800023035	WELLATON краска д/волос 4/0 тёмный шоколад (Проктер):10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
108769	4056800023073	WELLATON Краска д/волос 5/5 Махагони(Проктер) :10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
108776	4056800023165	WELLATON Краска д/волос 8/0 песочный (Проктер):10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
108777	4056800023301	WELLATON краска д/волос 8/1 ракушка (Проктер):10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
108780	4056800023202	WELLATON Краска д/волос 9/1 жемчуг (Проктер):10	Уход и гигиена	Средства по уходу за волосами	Краска для волос	Стойкие краски
109409	4606711100327	ОБЛЕПИХА Губная помада гигиеническая 2,8г (Аванта):40	Парфюмерия и декоративная косметика	Декоративная косметика	Для губ	Бальзамы, уход
109609	46040145	MELLER Драже ИРИС С ШОКОЛАДОМ 38г(Ван Мелле):24/192	Кондитерские изделия	Современные кондитерские изделия	Драже	Драже прочее
109792	5000204890778	GLADE Освежитель воздуха Морской 300мл (ЭсСиДж) :12	Бытовая химия	Освежители воздуха	Аэрозольные освежители воздуха	Аэрозольные освежители воздуха
174260	5413149045392	TIDE Авт. Ст. пор. Альп. свежесть 450г(Проктер):22	Бытовая химия	Средства для стирки	Сухие средства для стирки	Сухие средства для стирки
164443	7930064260009	ЛУК зеленый свеж (цена за шт):6	Свежие фрукты и овощи	Свежие овощи, зелень, грибы	Зелень	Зеленый лук
109622	4601726001980	DOMESTOS Ср-во универс. Лимонная свежесть 500мл(Юнилевер):28	Бытовая химия	Средства для сантехники	Дезинфицирующие средства для сантехники	Дезинфицирующие средства для сантехники
207420	4600935000043	НАЦИОНАЛЬ Греча фас. 900г м/уп(Ангстрем Трейдинг):8	Бакалея	Крупы, бобовые	Гречневая крупа	Гречневая крупа рассыпная
109831	4823002000177	МИСТЕР МУСКУЛ Порошок д/чис труб 70гр (ЭсСиДж):12	Бытовая химия	Средства для сантехники	Средства для прочистки труб и стоков	Средства для прочистки труб и стоков
221757	2015686000037	ВОСТОЧНЫЙ ГОСТЬ Приправа универсальная 40г(ТД-холдинг):35	Бакалея	Пряности	Смеси пряностей	Смеси универсальные
227535	4601735000011	ВОЛОГОДСКИЕ МП Мол сгущ 8,5%ГОСТ 400г ж/б(Сухонский МК):45	Молочная продукция	Сгущенное молоко	Сгущенное молоко	Молоко сгущенное классическое
197339	4601203002233	БЕЛОЕ ЗОЛОТО Морож пломбир Ваниль 0,22кг(Талосто):12	Замороженная продукция	Мороженое	Мороженое порционное	Мороженое брикет
156656	2034221600105	Хлеб АРБЕКОВСКИЙ 0,7кг (Сердобский хлебокомбинат)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный формовой
110069	4606711110128	Нега крем массажный 75мл (М) (АВАНТА ОАО) :12	Уход и гигиена	Уход за кожей тела	Лечебный уход за кожей тела	Разные лечебные средства
110123	8809004776001	COMBAT SuperBait ловушки д/тараканов 6шт (Хенкель):12	Бытовая химия	Средства для борьбы с насекомыми	Средства для борьбы с ползающими насекомыми	Средства для борьбы с ползающими насекомыми
110577	4601780000790	MAKFA Макароны виток в/с 450г:20	Бакалея	Макаронные изделия	Спагетти, фигурные	Фигурные
111277	8428916890003	ACORSA Оливки с анчоусом 350гр ж/б:12	Консервированные продукты	Консервы овощные и грибные	Оливки, маслины	Оливки фаршированные
323830	4601033085031	Водка Старая Москва 0,7л бут. (Мос.завод Кристалл) :12	Крепкий алкоголь	Водка	Водка обычная	Водка обычная
110295	4600949140018	ЧУДО Коктейль молочный жид.шоколад 3% 0,2л ТБА(ВБД):27	Молочная продукция	Молоко и сливки	Молоко прочих видов	Молоко с добавками
110298	4600949010199	ЧУДО Коктейль молочный ваниль 2% 0,2л ТБА(ВБД):27	Молочная продукция	Молоко и сливки	Молоко прочих видов	Молоко с добавками
110301	4600949010243	ДОМИК В ДЕРЕВНЕ молоко 0,5% 1л (ВБД):12	Молочная продукция	Молоко и сливки	Молоко коровье	Молоко стерилизованное
110980	4600494310072	PEPSI Напиток газированный 1,25л пл/бут(Пепси):12	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов от 0,8л
110983	4600494308116	7UP Напиток газированный 1,25л ПЭТ(Пепси):12	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов от 0,8л
110984	46494139	PEPSI Напиток газированный 0,33 ж/б(Пепси):12	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов менее 0,8л
110985	46494542	7UP Напиток газ 0,33л ж/б(Пепси):12	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов менее 0,8л
110989	4600494000188	AQUA MINERALE Питьевая вода газ 2л пл/бут(Пепси):6	Безалкогольные напитки	Воды питьевые	Газированные питьевые воды	Газированные питьевые воды от 0,8л
110990	4600494000416	AQUA MINERALE Питьевая вода негаз 2л пл/бут(Пепси):6	Безалкогольные напитки	Воды питьевые	Негазированные питьевые воды	Негазированные питьевые воды от 0,8л до 3л
110998	-	MOUNTAIN DEW Напиток 2л бут:6	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов от 0,8л
110978	4600433500175	МЕРКУРИЙ Минеральная вода газ 1,5л пл/бут(Меркурий):6	Безалкогольные напитки	Воды минеральные	Воды минеральные	Воды минеральные от 0,8л
279389	4607013981058	Булка Отрубная 0,2кг (Пятигорский ХК)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Диетические хлебные изделия	Хлеб с отрубями
111011	4601593000901	АРХЫЗ Минеральная вода газ 1,5л пл/бут(Висма Люкс):6	Безалкогольные напитки	Воды минеральные	Воды минеральные	Воды минеральные от 0,8л
111012	4601593000420	АРХЫЗ Питьевая вода негаз 5л ПЭТ(Висма Люкс):2	Безалкогольные напитки	Воды питьевые	Негазированные питьевые воды	Негазированные питьевые воды от 3л
111033	4600433500137	ПИЛИГРИМ Питьевая Вода негаз 5л пл/бут(Меркурий):2	Безалкогольные напитки	Воды питьевые	Негазированные питьевые воды	Негазированные питьевые воды от 3л
111438	8426979110601	SOL NEGRO Маслины черные б/к ж/б 300г(Инекс):12	Консервированные продукты	Консервы овощные и грибные	Оливки, маслины	Маслины без косточки
111452	4008638232127	LORADO Огурцы маринованные 720мл с/б :8	Консервированные продукты	Консервы овощные и грибные	Огурцы консервированные	Огурцы маринованные
111453	4008638111019	LORADO Ананасы шайбы 580мл:12	Консервированные продукты	Консервированные фрукты	Консервированный ананас	Консервированный ананас
111454	24008638161209	LORADO Персики в легком сиропе 850мл ж/б :12	Консервированные продукты	Консервированные фрукты	Консервированный персик	Консервированный персик
111468	4008638112016	LORADO Ананасы кусочки 580г:12	Консервированные продукты	Консервированные фрукты	Консервированный ананас	Консервированный ананас
110386	4607012930071	КУБАНСКАЯ БУРЕНКА Молоко стер 2,5% 1л ТБА (ВБД):12	Молочная продукция	Молоко и сливки	Молоко коровье	Молоко стерилизованное
110696	5449000000286	COCA-COLA Напиток газированный 2л пл/бут(Кока-Кола):6	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов от 0,8л
110699	5449000004840	FANTA Напиток газированный 2л пл/бут(Кока-Кола):6	Безалкогольные напитки	Напитки	Газированные напитки импортных брендов	Газированные напитки импортных брендов от 0,8л
